comment,task_type_A,task_type_B,contr_type_A,contr_type_B,task_type_selected,contr_type_selected
"/*
#=============================================================================
# Lecode's Tactical Battle System
# LeTBS.js
# By Lecode
# Version 0.7d
#-----------------------------------------------------------------------------
# TERMS OF USE
#-----------------------------------------------------------------------------
# https://github.com/LecodeMV/leTBS/blob/master/LICENSE.txt
#-----------------------------------------------------------------------------
# Version History
#-----------------------------------------------------------------------------
# - 0.0 : Beta started.
# - 0.1 : Battles start and end correctly.
#	      Troop events are correctly triggered in battle. (mostly)
#		  Added an end window which appears when pressing ESC on the command window.
#		  That window allows you to escape and change options.
#		  Added the tags and parameters for one time move only and one time offense only.
#		  Fixed some errors in the demo.
# - 0.2 : The Item command is functional.
#		  Added custom move scopes and options.
#		  Downgraded the turn order visual for now to fix some bugs.
#		  Added a new option for turn order: ""fair repartition"".
#		  Status window is updated when a target is selected.
#		  There's now a help window. Status window is shifted if needed.
# - 0.3 : The mouse is supported.
#		  Prototype of the projectiles system.
#		  Prototype of the AI.
#		  Fixed a bug and improved the Turn Order Visual Version A.
#		  85% of the tile effects and marks system.
#		  Fixed a bug with the line of sight.
# - 0.4 : Now there is ony one unique tag.
#		  Support custom sprites. (Yay !)
#		  AI improved.
#		  Added AI patterns. They can be used in AI commands.
#		  Now each entity has his own sequence system. This allows simultaneous sequences.
#		  Added some sequence commands.
#		  Now a sequence is played for the following events:
#		  battle start, turn start, victory, death, damaged, healed, buffed, weakened.
# - 0.5 : Projectile system completed
#         Tile, Mark & Aura effects completed
#         Added knockback damage
#         Fixed and added some sequence commands
#         Fixed some bugs
#         Created DamagePopupEX
# - 0.6 : Added these sequence commands: 'call_for_every_cell', 'call_for_every_entity', 'reach_target'
#         Added these sequence commands: 'save_cells', 'save_entities'
#         Added these tag instructions: 'sprite_name' and 'sprite_config'
#         Added a region ID to setup non-walkable tile but free for the line of sight (water)
#         Improved AI
#         Reduced lag generated by AI process
#         Created Win Conditions ADD-ON
#         New feature: TBS Events and Neutral entities
#         Map events are now supported - battlers can interact with them.
#         Support directional scope
#         Added a new scope type: path
#         Added an option to instantiate all enemies at the same time
#         Start messages can be disabled
#         Added some plugin command for in-battle eventing
#         Added some event tag for in-battle eventing
#         Fixed a bug where the system freezes on positioning phase
#         Fixed the ""param is not defined"" error when an enemy starts its turn
#         Fixed a bug where custom scopes ignore line of sight
#         Fixed parallax scrolling when the cursor move
#         Fixed a bug where move points could be negative
#         Fixed a bug where knockback distance could be negative
#         Fixed a bug where the game crashes when AI try to resume a move action
#         The entities layer has now a correct Z coordinate
#         Fixed a bug where entities overlap themselves
#         Fixed a bug where the scope and marks layers weren't visible
#         When the active entity die, the scope layer is correctly cleared
#         Dead enemies don't try to play their turn anymore
#         Dead actors can't be placed at the start of battles
#         Battlers are correctly revived
#         The turn order visual is correctly updated when en entity is revived
#         The wait parameter for tile effects is correctly applied
#         The parameter 'false' in the sequence commands 'push' and 'pull' to avoid 
#           knockback damage now works as intended
#         Fixed 2 bugs related to the mark and tile effect add-on and improved it (1.1)
#         Selected cells with TouchInput on large map are correctly handled
# - 0.61 : Optimized cells locating
#          Added a trigger type for battle end
# - 0.7 : Reworked the battle HUD
#         Improved the positioning phase, you can also specify fixed actor cells
#         The positioning phase is now correctly resumed
#         The mouse is now correctly supported during the positioning phase
#         Defeat is now based on actors in battle and not the whole party (bugfix)
#         Added a minimal parameter to scopes
#         Scopes and AoEs parameters are now evaluated
#         Added smooth map scrolling system in battle
#         Added a parameter to hide AI's scopes
#         Counter attacks and magic reflection are now supported
#         Added a summon system (add-on)
#         The system now automatically use RPT ressources (add-on)
#         Added these sequence commands: switch_cells, use_skill
#         Added a fast sequence system as well as arguments for sequences
#         Added a HUD that appear on an entity when the mouse is over it (add-on)
#         Added some tag instructions to change sprite scale, tone and hue
#         Added a tag ""has_no_corpse"" to hide an entity's corpse
#         Added states and equipment animations in battle
#         Added a map tactical and auto battle system
#         The tag sprite_name is correctly taken into account into these components: Turn Order, Window Status
#         The selected AoE now blinks
#         Greatly improved targets and cells selection in sequences
#         The AI Core is completed: all behavior are supported
#         The AI correctly use its skills and doesn't stick with just one
#         The AI correctly calculate the closest/farhest path to a given cell (no more stuck by obstacles)
#         The AI uses smartly AoE skills to hit, heal or boost multiple targets
#         The AI can use move skills to escape or reach targets
#         The AI doesn't escape anymore if it's already too far from actors (prevents endless battles)
#         The AI is able to focus its action on a specified target
#         Added a parameter to define how much AI should try to escape (prevents endless battles)
#         The AI now handles confusion states
#         Added a parameter to delay AI calculation rate, in order to prevent freezes
#         Added a configuration tag for AI
#         Fixed a bug where collapse effects are triggered multiple times
#         Projectiles and entities are now summoned for each cell in the AoE
#         The turn order is now correctly determined
#         Command, Skill and Item windows are now correctly positioned
#         Skills can now directly alter move points with the instruction ""change_move_points: +x /-x""
#         Move points popup is now added - Though a little bugged
#         Fixed a bug where triggering tiles and mark effects change the next
#         action damage
# - 0.7a : Fixed a bug where the ""Free_LOS"" command in event comments would not work
#          Fixed a bug where the last summon data are used instead of a new data
#          Sprites of summoned entities are destroyed
# - 0.7b : The automatic call of the battle start is now correctly processed
#          Fixed actors cannot be swaped
#          The command, skill and item windows can't be off the screen
# - 0.7c : Fixed a bug where deleted events could make the game crash
#          The battle window layer isn't affected by the screen filters anymore
#          Victory branches are now correctly supported
#          The command window stay closed at the battle end
# - 0.7d : ""Cannot move"" states are handled
#          The battlers layer is now correctly below the upper map layer
#          Added a tag to make the AI play an actor
#          Added sequence overloading
#          Entities can now stay on a corpse if it's opacity is 0
#          Added the sequence command ""sprite_prop""
#=============================================================================
*/",Documentation,Documentation,Artifact Generation,Implementation,Documentation,Implementation
# This code was generated by ChatGPT as a way to create dummy data for,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# IDK what this is for, copilot suggested it, but i think it solved nothing",Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
# get_songs_custom is a function under suno with the lyrics and genre passed through the combined user prompted genre and gpt generated lyrics,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"/**
 * Sets text of a RectangleNode to the speed that it's travelling at in kp/h.
 * 
 * Script written by Aiden Ravenshea.
 */",Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Implementation
"### Game code, docstrings, and comments were all created by ChatGPT.",Documentation,Documentation,Implementation,Implementation,Documentation,Implementation
"/**
 * @function graphXlsx
 * @description
 * Fetches one or more XLSX files, caches their parsed workbooks, extracts data for multiple series,
 * and renders an ECharts chart. Multiple series can reference different `src` URLs, and each unique
 * file is loaded only once and then cached. After the chart is rendered, workbook objects are cleared
 * from memory.
 *
 * **Key Features:**
 * - Supports multiple data sources: each series can specify its own `src` to override the top-level `src`.
 * - Caches each loaded workbook keyed by `src`, so if multiple series share the same file, it isn't re-fetched.
 * - Automatically detects if the X-axis should be a category or value axis.
 * - Allows per-series chart types, line/point display configurations, and styling.
 * - Fetches titles and labels from cell references where needed.
 * - Adjusts axis bounds and ticks for clean numeric axes.
 *
 * All of this code was created by ChatGPT, for more context on the creation of this code see the associated conversation thread:
 *   https://chatgpt.com/share/67543029-5f10-8004-bdf2-8ad084fa357d
 *
 * @param {Object} options - Configuration object
 * @param {string} options.src - URL of the primary XLSX, or CSV file to fetch. Series may override this with their own src.
 * @param {HTMLElement} options.target - The DOM element that will contain the generated chart.
 * @param {string} [options.theme='light'] - ECharts theme.
 *
 * @param {Object} [options.tooltip] - Tooltip configuration.
 * @param {boolean} [options.tooltip.show=true] - Whether tooltips are shown.
 * @param {string} [options.tooltip.formatter='{b}: {c}'] - Tooltip format string.
 *
 * @param {string} [options.title] - Chart title (can be cell reference).
 * @param {string} [options.worksheet] - Default worksheet name if cell references don't specify one.
 * @param {boolean} [options.showLegend=true] - Whether to show the legend.
 *
 * @param {Object} [options.xAxis] - X-axis configuration.
 * @param {string} [options.xAxis.title] - X-axis title (cell reference allowed).
 * @param {number} [options.xAxis.min] - Minimum X value (value axis only).
 * @param {number} [options.xAxis.max] - Maximum X value (value axis only).
 * @param {number} [options.xAxis.ticks] - Tick interval. For value axes: numeric spacing; for category axes: label skipping.
 *
 * @param {Object} [options.yAxisLeft] - Left Y-axis configuration.
 * @param {string} [options.yAxisLeft.title] - Title (cell reference allowed).
 * @param {number} [options.yAxisLeft.min] - Min Y for the left axis.
 * @param {number} [options.yAxisLeft.max] - Max Y for the left axis.
 * @param {number} [options.yAxisLeft.ticks] - Tick interval for the left Y-axis.
 *
 * @param {Object} [options.yAxisRight] - Right Y-axis configuration.
 * @param {string} [options.yAxisRight.title] - Title (cell reference allowed).
 * @param {number} [options.yAxisRight.min] - Min Y for the right axis.
 * @param {number} [options.yAxisRight.max] - Max Y for the right axis.
 * @param {number} [options.yAxisRight.ticks] - Tick interval for the right Y-axis.
 *
 * @param {Array} options.series - Array of data series configurations.
 * @param {string} [options.series[].src] - Optional URL of an XLSX, or CSV file for this series. If not provided, uses top-level src.
 * @param {string} [options.series[].type='line'] - Chart type for this series ('line', 'scatter', 'bar', etc.).
 * @param {string} [options.series[].title] - Series title (cell reference allowed).
 * @param {boolean} [options.series[].smooth=false] - If true, renders lines smoothly (for line charts).
 * @param {Object} [options.series[].style] - Style config for line and points.
 * @param {Object} [options.series[].style.line] - Line style (e.g., {width:2, color:'#ff0000'}).
 * @param {Object} [options.series[].style.point] - Point style (e.g., {size:2, color:'#00ff00'}).
 * @param {string} [options.series[].worksheet] - Worksheet for this series' data (overrides top-level if given).
 * @param {string} [options.series[].dataOrientation='column'] - Data orientation ('row' or 'column').
 * @param {Object} options.series[].xData - X data configuration (start cell reference).
 * @param {string} options.series[].xData.location - Starting cell for X data.
 * @param {string} [options.series[].xData.title] - X-axis title for this series (cell reference allowed).
 * @param {Object} options.series[].yData - Y data configuration.
 * @param {string} options.series[].yData.location - Starting cell for Y data.
 * @param {string} [options.series[].yData.title] - Y-axis title (cell reference allowed).
 * @param {string} [options.series[].yData.which='left'] - Which Y-axis ('left' or 'right').
 * @param {string} [options.series[].color] - Hex color for the series.
 * @param {boolean|string} [options.series[].points=true] - Points display (false=none, true=circle, string=symbol).
 * @param {boolean|Object} [options.series[].line=true] - Line display:
 *                                                       false = no line (scatter)
 *                                                       true = default line
 *                                                       object = custom line style.
 *
 * @param {function} [options.onError] - Error callback, defaults to console.error.
 * @param {function} [options.onLoaded] - Callback before loading starts, useful for showing a spinner or message.
 *
 * @example
 * graphXlsx({
 *   src: 'data1.xlsx',
 *   target: document.getElementById('chartContainer'),
 *   theme: 'light',
 *   title: '=Sheet1!A1',
 *   showLegend: true,
 *   xAxis: { title: '=Sheet1!B2', ticks: 10 },
 *   yAxisLeft: { title: '=Sheet1!C2', ticks: 5 },
 *   series: [
 *     {
 *       type: 'scatter',
 *       title: '=Sheet1!A10',
 *       worksheet: 'Sheet1',
 *       dataOrientation: 'column',
 *       xData: { location: 'A5' },
 *       yData: { location: 'B5', which: 'left' },
 *       points: false,
 *       line: true, // turns scatter into line+points
 *       smooth: true,
 *       style: { line: { width: 2, color: '#ff0000' } }
 *     },
 *     {
 *       type: 'bar',
 *       title: '=OtherSheet!A1',
 *       src: 'data2.xlsx',
 *       xData: { location: 'C5' },
 *       yData: { location: 'D5', which: 'right' },
 *       points: 'diamond',
 *       line: false
 *     }
 *   ],
 *   onError: function(err) {
 *     console.error('Error loading chart:', err);
 *   },
 *   onLoaded: function() {
 *     console.log('Loading XLSX data...');
 *   }
 * });
 */",Bug Identification & Fixing,Bug Identification & Fixing,Artifact Generation,Artifact Generation,Bug Identification & Fixing,Artifact Generation
// The LLM suggested that I should add indexes to the fields that are queried frequently. This will improve the performance of the queries. I'm not sure how that could help but I will look into it.,Code Enhancement,Code Implementation,Knowledge and Concept Support,Knowledge and Concept Support,Code Enhancement,Knowledge and Concept Support
"eply compares values, potentially recursively if they are objects.
 * Logs differences with a path to the differing property.
 * TODO(@dwertheimer): this is not used. Could it be moved to a helper file?
 * Note: suggested by ChatGPT.
 * @param {any} value1 The first value to compare.
 * @param {any} value2 The second value to compare.
 * @param {string} path The base path to the property being compared.
 */
export f",Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Implementation
# Generated by Copilot - os library,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# Most of the mood conditions created by chatgpt,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// written by github copilot and modified by me.,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Implementation
# set LLM generated ground-truth var,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
# This script is created using chatGPT,Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Implementation
"DO test this ? generated by copilot
def",Testing,Testing,Implementation,Implementation,Testing,Implementation
"// Google OAuth & related (chatGPT generated, might not work for everyone)",Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
#Data Generated from ChatGPT,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"#     return visitor is not None # originally had an else structure, ChatGPT suggested the ""is not"" formulation",Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
# > **Note**: This notebook was generated with AI assistance. Please review all code and results carefully.,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# AI suggested 0.4,Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
# This parser is generated by ChatGPT,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# Created by ChatGPT on 5/25/2023,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
